"CECC.Record.Number","detention_length_base","censored_base","detention_length_extra","censored_extra","dyear","male","age","bigcity","serious_issue","mongol","tibetan","uyghur","other","buddhist","christian","cultist","falun_gong","muslim","religious_leader","student","activist_ngo","journalist_publishing","dangerous_professions"
"2022-00176",9.59358675296514,1,9.59358675296514,1,2022,1,48.7643835616438,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00166",NA,1,NA,1,2022,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00054",NA,1,NA,1,2022,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00010",10.119262739429,1,10.119262739429,1,2022,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00046",10.217826986891,1,10.217826986891,1,2022,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-00174",0.558530735617834,0,0.558530735617834,0,2022,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-00281",10.2506817360449,1,10.2506817360449,1,2022,1,56.9095890410959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00167",10.7763577225088,1,10.7763577225088,1,2022,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-00182",NA,1,NA,1,2022,1,55.9671232876712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00165",11.0063409665867,1,33.9389558760719,0,2022,1,68.8821917808219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00009",11.2363242106647,1,11.2363242106647,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00006",11.2363242106647,1,11.2363242106647,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00007",11.2363242106647,1,11.2363242106647,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00008",11.2363242106647,1,11.2363242106647,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00005",11.2363242106647,1,11.2363242106647,1,2022,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2015-00237",11.2363242106647,1,11.2363242106647,1,2022,1,64.1917808219178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00202",3.54831290863094,0,3.54831290863094,0,2022,1,30.186301369863,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00179",11.5648717022046,1,11.5648717022046,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00086",11.5648717022046,1,11.5648717022046,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00182",11.5977264513585,1,11.5977264513585,1,2022,0,23.1616438356164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00181",11.5977264513585,1,11.5977264513585,1,2022,0,76.1616438356164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00185",11.6305812005125,1,11.6305812005125,1,2022,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00148",11.7291454479745,1,11.7291454479745,1,2022,1,33.7369863013699,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-00821",11.9262739428984,1,11.9262739428984,1,2022,0,50.1342465753425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00038",NA,1,NA,1,2022,1,30.1671232876712,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00142",12.2219666852844,1,12.2219666852844,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00132",12.6819331734402,1,12.6819331734402,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00061",12.9447711666721,1,12.9447711666721,1,2022,1,62.0493150684932,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00127",13.273318658212,1,13.273318658212,1,2022,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00173",0.492821237309853,0,0.492821237309853,0,2022,1,36.0328767123288,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2019-00490",13.6347208989059,1,25.5609948418044,0,2022,1,56.0301369863014,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00129",13.7332851463679,1,13.7332851463679,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00104",13.8975588921379,1,13.8975588921379,1,2022,1,32.9698630136986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004-02203",14.1932516345238,1,14.1932516345238,1,2022,1,53.9452054794521,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00126",14.6860728718336,1,14.6860728718336,1,2022,0,38.9041095890411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00191",14.9489108650655,1,23.9839668824129,0,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00186",NA,1,NA,1,2022,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00011",NA,1,NA,1,2022,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00022",15.0474751125275,1,15.0474751125275,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-00526",15.0474751125275,1,15.0474751125275,1,2022,1,45.8054794520548,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005-00261",15.0803298616815,1,15.0803298616815,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00020",15.0803298616815,1,15.0803298616815,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00023",15.0803298616815,1,15.0803298616815,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00021",15.0803298616815,1,15.0803298616815,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-001261",0.328547491539902,0,0.328547491539902,0,2022,0,38.8438356164384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00116",15.4745868515294,1,15.4745868515294,1,2022,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00115",15.4745868515294,1,15.4745868515294,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2005-00232",15.8031343430693,1,15.8031343430693,1,2022,1,58.8109589041096,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
